dataset	template_id	template_kind	column	name_pattern	original_len	sampled_len	truncated	current_encoding	current_mem_bytes_est	i64_mem_bytes	i32_applicable	i32_mem_bytes	constant	constant_mem_bytes	slp_i8_mem_bytes	slp_i8_segments	slp_i8_avg_segment_len	slp_i8_max_abs_residual	slp_i8_msgpack_bytes	slp_i8_zstd_bytes	slp_i8_encode_secs	slp_i8_decode_ok	slp_i16_mem_bytes	slp_i16_segments	slp_i16_avg_segment_len	slp_i16_max_abs_residual	slp_i16_msgpack_bytes	slp_i16_zstd_bytes	slp_i16_encode_secs	slp_i16_decode_ok	best_slp	best_slp_mem_bytes	best_slp_ratio_vs_i64	best_slp_ratio_vs_i32	accepted_vs_i64_gt_2	beats_i32	i64_msgpack_bytes	i64_zstd_bytes	i32_msgpack_bytes	i32_zstd_bytes
leworldmodel_full	431	cpu	dur	<built-in function next>	8579	8579	false	i32	34316	68632	true	34316	false	0	8859	9	953.2222222222222	122	8944	2615	0.000170625	true	17246	1	8579.0	448	15196	3228	0.000168227	true	slp_i8	8859	7.747149791172818	3.873574895586409	true	true	8590	1604	8590	1604
leworldmodel_full	2729	cpu	ts	aten::as_strided	8552	8552	false	i32	34208	68416	true	34208	false	0	12528	163	52.466257668711656	127	16217	11048	0.000185387	true	17624	19	450.10526315789474	32546	26057	20843	0.000166407	true	slp_i8	12528	5.461047254150702	2.730523627075351	true	true	42763	30418	42763	30418
leworldmodel_full	2729	cpu	dur	aten::as_strided	8552	8552	false	i32	34208	68416	true	34208	false	0	8640	1	8552.0	6	8633	323	0.000167618	true	17192	1	8552.0	6	8634	323	0.000170258	true	slp_i8	8640	7.9185185185185185	3.9592592592592593	true	true	8555	229	8555	229
leworldmodel_full	536	cpu	ts	omegaconf/basecontainer.py(0): _value	8531	8531	false	i32	34124	68248	true	34124	false	0	14955	265	32.19245283018868	127	19717	11121	0.000183651	true	17534	17	501.8235294117647	32761	25844	20825	0.000165645	true	slp_i8	14955	4.563557338682715	2.2817786693413575	true	true	40814	28359	40814	28359
leworldmodel_full	536	cpu	dur	omegaconf/basecontainer.py(0): _value	8531	8531	false	i32	34124	68248	true	34124	false	0	8619	1	8531.0	4	8612	164	0.000166355	true	17150	1	8531.0	4	8613	165	0.000166074	true	slp_i8	8619	7.918319990718181	3.9591599953590904	true	true	8534	86	8534	86
leworldmodel_full	420	cpu	ts	omegaconf/_utils.py(0): _is_interpolation	8481	8481	false	i32	33924	67848	true	33924	false	0	15289	281	30.181494661921707	127	20322	12224	0.000186261	true	17338	13	652.3846153846154	32577	25383	20029	0.000165006	true	slp_i8	15289	4.437700307410557	2.2188501537052785	true	true	37964	27632	37964	27632
leworldmodel_full	420	cpu	dur	omegaconf/_utils.py(0): _is_interpolation	8481	8481	false	i32	33924	67848	true	33924	false	0	8569	1	8481.0	31	8562	1489	0.000167625	true	17050	1	8481.0	32	8563	1431	0.000168363	true	slp_i8	8569	7.917843388960206	3.958921694480103	true	true	8484	1095	8484	1095
leworldmodel_full	69	cpu	ts	<built-in function fspath>	8397	8397	false	i32	33588	67176	true	33588	false	0	17581	380	22.097368421052632	127	23193	11070	0.000179592	true	17314	19	441.94736842105266	32736	25729	19835	0.000165004	true	slp_i16	17314	3.8798660043895112	1.9399330021947556	true	true	40616	12086	40616	12086
leworldmodel_full	69	cpu	dur	<built-in function fspath>	8397	8397	false	i32	33588	67176	true	33588	false	0	8485	1	8397.0	6	8474	136	0.000158585	true	16882	1	8397.0	6	8475	137	0.000159207	true	slp_i8	8485	7.917030053034767	3.9585150265173836	true	true	8400	66	8400	66
leworldmodel_full	97	cpu	ts	<built-in method endswith of str object at 0x0f0d0ad0d0f0>	8368	8368	false	i32	33472	66944	true	33472	false	0	14096	236	35.45762711864407	127	18519	9661	0.000173901	true	17064	11	760.7272727272727	32760	25329	20081	0.000166088	true	slp_i8	14096	4.749148694665153	2.3745743473325764	true	true	40959	8049	40959	8049
leworldmodel_full	97	cpu	dur	<built-in method endswith of str object at 0x0f0d0ad0d0f0>	8368	8368	false	i32	33472	66944	true	33472	false	0	8456	1	8368.0	2	8445	101	0.000158402	true	16824	1	8368.0	2	8446	102	0.00015886	true	slp_i8	8456	7.916745506149479	3.9583727530747397	true	true	8371	30	8371	30
leworldmodel_full	976	cpu	ts	yaml/scanner.py(0): check_token	8236	8236	false	i32	32944	65888	true	32944	false	0	9380	45	183.0222222222222	127	10464	7191	0.000169348	true	16584	2	4118.0	23847	24693	19988	0.00015946	true	slp_i8	9380	7.024307036247334	3.512153518123667	true	true	32947	13168	32947	13168
leworldmodel_full	976	cpu	dur	yaml/scanner.py(0): check_token	8236	8236	false	i32	32944	65888	true	32944	false	0	8492	8	1029.5	127	14830	4238	0.000165053	true	16560	1	8236.0	489	12658	3101	0.0001634	true	slp_i8	8492	7.758831841733397	3.8794159208666983	true	true	8256	1513	8256	1513
leworldmodel_full	720	cpu	ts	antlr0/InputStream.py(0): LA	8038	8038	false	i32	32152	64304	true	32152	false	0	10070	82	98.02439024390245	127	13347	8094	0.0001644	true	16284	6	1339.6666666666667	32761	24085	19823	0.000156382	true	slp_i8	10070	6.385700099304866	3.192850049652433	true	true	39809	26091	39809	26091
leworldmodel_full	720	cpu	dur	antlr0/InputStream.py(0): LA	8038	8038	false	i32	32152	64304	true	32152	false	0	8126	1	8038.0	1	8115	139	0.000152189	true	16164	1	8038.0	1	8116	140	0.000152324	true	slp_i8	8126	7.91336450898351	3.956682254491755	true	true	8041	69	8041	69
leworldmodel_full	2443	cpu	ts	pkg_resources/_vendor/packaging/version.py(0): <genexpr>	7818	7818	false	i32	31272	62544	true	31272	false	0	8074	8	977.25	127	8827	5984	0.000154453	true	15724	1	7818.0	6867	23153	13557	0.000152673	true	slp_i8	8074	7.746346296755016	3.873173148377508	true	true	39093	4884	39093	4884
leworldmodel_full	2443	cpu	dur	pkg_resources/_vendor/packaging/version.py(0): <genexpr>	7818	7818	false	i32	31272	62544	true	31272	false	0	7906	1	7818.0	3	7899	112	0.000150591	true	15724	1	7818.0	3	7900	113	0.000154869	true	slp_i8	7906	7.910953706046041	3.9554768530230207	true	true	7821	33	7821	33
leworldmodel_full	399	cpu	ts	omegaconf/_utils.py(0): is_dataclass	7699	7699	false	i32	30796	61592	true	30796	false	0	13307	231	33.32900432900433	127	17910	10970	0.000168506	true	15630	7	1099.857142857143	18453	23209	17744	0.000148917	true	slp_i8	13307	4.628541369204179	2.3142706846020893	true	true	33422	24509	33422	24509
leworldmodel_full	399	cpu	dur	omegaconf/_utils.py(0): is_dataclass	7699	7699	false	i32	30796	61592	true	30796	false	0	7787	1	7699.0	4	7780	801	0.00015161	true	15486	1	7699.0	4	7777	612	0.000150658	true	slp_i8	7787	7.909592911262361	3.9547964556311803	true	true	7702	461	7702	461
leworldmodel_full	396	cpu	ts	omegaconf/_utils.py(0): is_attr_class	7647	7647	false	i32	30588	61176	true	30588	false	0	13279	232	32.96120689655172	127	17883	10779	0.000167603	true	15526	7	1092.4285714285713	18760	23039	17957	0.000149121	true	slp_i8	13279	4.606973416672942	2.303486708336471	true	true	33192	24360	33192	24360
leworldmodel_full	396	cpu	dur	omegaconf/_utils.py(0): is_attr_class	7647	7647	false	i32	30588	61176	true	30588	false	0	7735	1	7647.0	57	11053	1372	0.000150266	true	15382	1	7647.0	57	11187	1422	0.000149837	true	slp_i8	7735	7.908985132514545	3.9544925662572723	true	true	7650	672	7650	672
leworldmodel_full	395	cpu	ts	omegaconf/_utils.py(0): is_structured_config	7639	7639	false	i32	30556	61112	true	30556	false	0	13271	232	32.92672413793103	127	17870	10756	0.00016739	true	15510	7	1091.2857142857142	18944	23047	17762	0.00014705	true	slp_i8	13271	4.604928038580363	2.3024640192901815	true	true	33168	24341	33168	24341
leworldmodel_full	395	cpu	dur	omegaconf/_utils.py(0): is_structured_config	7639	7639	false	i32	30556	61112	true	30556	false	0	7727	1	7639.0	64	11631	2529	0.000149792	true	15366	1	7639.0	64	11862	2544	0.000149286	true	slp_i8	7727	7.908890902031836	3.954445451015918	true	true	7642	1415	7642	1415
leworldmodel_full	2904	cpu	ts	torch/nn/modules/module.py(0): _call_impl	7436	7436	false	i32	29744	59488	true	29744	false	0	10980	145	51.282758620689656	127	14624	9736	0.000160014	true	15200	11	676.0	32705	22558	18242	0.000143579	true	slp_i8	10980	5.417850637522768	2.708925318761384	true	true	37183	26297	37183	26297
leworldmodel_full	2904	cpu	dur	torch/nn/modules/module.py(0): _call_impl	7436	7436	false	i32	29744	59488	true	29744	false	0	27948	852	8.727699530516432	127	36403	14160	0.000172275	true	15368	18	413.1111111111111	32095	22857	17451	0.000148479	true	slp_i16	15368	3.870900572618428	1.935450286309214	true	true	8845	5865	8845	5865
